epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3230.78,0.87371,0.46168,1.05501,0.99552,0.98288,0.99071,0.80191,0.77794,0.33037,1.04458,0.0058915,0.0058915,0.0058915
85,3268.11,0.87204,0.46542,1.05171,0.99248,0.98288,0.99164,0.79364,0.81452,0.33174,1.05345,0.005842,0.005842,0.005842
86,3305.49,0.87962,0.47016,1.06135,0.9919,0.98288,0.99164,0.80835,0.78736,0.33133,1.03926,0.0057925,0.0057925,0.0057925
87,3342.72,0.87731,0.4582,1.04948,0.98598,0.98973,0.99202,0.79619,0.80349,0.32564,1.03796,0.005743,0.005743,0.005743
88,3379.97,0.85085,0.45017,1.03963,0.99419,0.9863,0.99255,0.81015,0.78646,0.31405,1.03298,0.0056935,0.0056935,0.0056935
89,3417.33,0.85214,0.44795,1.0413,0.98503,0.99658,0.99289,0.80505,0.79841,0.31378,1.04058,0.005644,0.005644,0.005644
90,3454.72,0.84975,0.44848,1.037,0.99567,0.97945,0.99238,0.81244,0.76806,0.32484,1.04067,0.0055945,0.0055945,0.0055945
91,3492.01,0.8628,0.45193,1.05146,0.9908,0.98288,0.99223,0.80968,0.77138,0.32449,1.03913,0.005545,0.005545,0.005545
92,3529.24,0.85269,0.4579,1.04405,0.98584,0.9863,0.99226,0.81332,0.76381,0.32135,1.02733,0.0054955,0.0054955,0.0054955
93,3566.58,0.84024,0.44632,1.0367,0.98307,0.99434,0.99342,0.80084,0.79604,0.32342,1.03997,0.005446,0.005446,0.005446
94,3603.81,0.85154,0.45104,1.0432,0.98979,0.99565,0.99226,0.81058,0.79039,0.3174,1.03423,0.0053965,0.0053965,0.0053965
95,3640.96,0.83625,0.45713,1.03503,0.99312,0.9889,0.99289,0.81052,0.78335,0.31763,1.02496,0.005347,0.005347,0.005347
96,3678.1,0.83764,0.44375,1.0338,0.9907,0.9863,0.99211,0.81118,0.78413,0.31601,1.03369,0.0052975,0.0052975,0.0052975
97,3715.31,0.84552,0.44481,1.03704,0.98607,0.98973,0.99042,0.80855,0.76678,0.31765,1.02941,0.005248,0.005248,0.005248
98,3752.55,0.82465,0.43813,1.02809,0.98955,0.99658,0.99257,0.81615,0.76607,0.30428,1.02823,0.0051985,0.0051985,0.0051985
99,3789.81,0.83054,0.43656,1.02995,0.98979,0.99566,0.99258,0.8122,0.78393,0.31477,1.02805,0.005149,0.005149,0.005149
100,3827.11,0.82218,0.44043,1.02324,0.99019,0.99658,0.99304,0.82068,0.7779,0.30766,1.02394,0.0050995,0.0050995,0.0050995
101,3864.55,0.82823,0.43423,1.01928,0.99317,0.99637,0.99297,0.81795,0.77176,0.30972,1.02318,0.00505,0.00505,0.00505
102,3901.9,0.82661,0.43786,1.0277,0.99233,0.98973,0.99289,0.82032,0.76456,0.30602,1.01882,0.0050005,0.0050005,0.0050005
103,3939.09,0.81248,0.42651,1.02118,0.98243,0.99315,0.99294,0.82246,0.7637,0.31557,1.01815,0.004951,0.004951,0.004951
104,3976.19,0.81906,0.43895,1.01893,0.99244,0.98973,0.99233,0.82147,0.73969,0.30582,1.01087,0.0049015,0.0049015,0.0049015
105,4013.47,0.80074,0.42733,1.01679,0.98975,0.99658,0.99292,0.819,0.75146,0.31177,1.01157,0.004852,0.004852,0.004852
106,4050.72,0.80612,0.43301,1.02002,0.98924,0.99658,0.99342,0.82629,0.73805,0.30897,1.00682,0.0048025,0.0048025,0.0048025
107,4087.87,0.80652,0.4245,1.01419,0.98897,0.98973,0.99282,0.8312,0.74428,0.31394,1.015,0.004753,0.004753,0.004753
108,4124.93,0.80009,0.4249,1.01779,0.98535,0.99315,0.99259,0.82312,0.75385,0.30869,1.01416,0.0047035,0.0047035,0.0047035
109,4162.21,0.80402,0.42549,1.01346,0.98635,0.98967,0.99107,0.81627,0.75285,0.32031,1.00908,0.004654,0.004654,0.004654
110,4199.56,0.79393,0.42234,1.01303,0.99314,0.99223,0.99236,0.82012,0.75979,0.3008,1.02516,0.0046045,0.0046045,0.0046045
111,4236.83,0.78841,0.42185,1.0151,0.99298,0.98973,0.99256,0.82277,0.75905,0.29881,1.02499,0.004555,0.004555,0.004555
112,4274.05,0.79312,0.41681,1.01621,0.98781,0.99315,0.99295,0.82653,0.75025,0.29922,1.01941,0.0045055,0.0045055,0.0045055
113,4311.28,0.78867,0.41624,1.00812,0.99654,0.98739,0.99279,0.83241,0.73138,0.29778,1.01085,0.004456,0.004456,0.004456
114,4348.59,0.79231,0.41818,1.01523,0.99187,0.99315,0.99301,0.82612,0.72561,0.29247,1.0083,0.0044065,0.0044065,0.0044065
115,4385.8,0.78665,0.41427,1.00547,0.99317,0.99574,0.99318,0.83066,0.72316,0.29212,0.99452,0.004357,0.004357,0.004357
116,4423.12,0.77989,0.41289,1.00738,0.9898,0.99656,0.99173,0.8284,0.72587,0.29308,1.00819,0.0043075,0.0043075,0.0043075
117,4460.46,0.78437,0.40965,1.01173,0.99313,0.99658,0.99163,0.8257,0.71387,0.28767,1.00382,0.004258,0.004258,0.004258
118,4497.79,0.77732,0.40725,1.00442,0.99317,0.99614,0.99311,0.82953,0.73415,0.28696,1.00855,0.0042085,0.0042085,0.0042085
119,4534.87,0.78182,0.40493,1.00769,0.99085,0.99315,0.9926,0.831,0.73401,0.29208,1.00667,0.004159,0.004159,0.004159
120,4572.06,0.77872,0.41072,1.00502,0.98951,0.99315,0.99234,0.83006,0.7295,0.29162,1.00542,0.0041095,0.0041095,0.0041095
121,4609.33,0.7552,0.40703,0.99204,0.99054,0.99315,0.99277,0.83152,0.72964,0.29498,1.00588,0.00406,0.00406,0.00406
122,4654.97,0.75979,0.40342,1.00266,0.99314,0.99209,0.99199,0.82476,0.72103,0.29312,1.00225,0.0040105,0.0040105,0.0040105
123,4700.38,0.74561,0.39165,0.99475,0.99657,0.99534,0.99308,0.83235,0.715,0.28655,1.00382,0.003961,0.003961,0.003961
124,4746.8,0.76314,0.40126,1.0032,0.99596,0.99315,0.99338,0.83516,0.71985,0.29089,1.00095,0.0039115,0.0039115,0.0039115
125,4795.47,0.75239,0.39337,0.99731,0.99315,0.99295,0.99327,0.83521,0.70435,0.29069,0.99999,0.003862,0.003862,0.003862
126,4843.97,0.75439,0.40133,0.98908,0.99597,0.99315,0.99328,0.83553,0.70867,0.2815,0.99573,0.0038125,0.0038125,0.0038125
127,4892.75,0.75842,0.41297,0.99734,0.9963,0.99658,0.995,0.83536,0.71058,0.28167,0.99441,0.003763,0.003763,0.003763
128,4941.31,0.74939,0.39629,0.98895,0.99559,0.99658,0.995,0.83743,0.71115,0.2837,0.99042,0.0037135,0.0037135,0.0037135
129,4990.79,0.74588,0.39647,0.99481,0.99657,0.99591,0.99301,0.8323,0.71173,0.2821,0.99181,0.003664,0.003664,0.003664
130,5039.61,0.74249,0.39299,0.99023,0.99604,0.98973,0.99245,0.83598,0.71282,0.28561,0.99372,0.0036145,0.0036145,0.0036145
131,5088.02,0.7376,0.39281,0.9798,0.98978,0.99547,0.9922,0.83681,0.71356,0.28528,0.99261,0.003565,0.003565,0.003565
132,5136.91,0.73156,0.38265,0.98188,0.99656,0.99299,0.99211,0.83542,0.71259,0.29327,0.99263,0.0035155,0.0035155,0.0035155
133,5184.75,0.7269,0.38631,0.97868,0.995,0.99315,0.99259,0.83816,0.71298,0.28773,0.99422,0.003466,0.003466,0.003466
134,5232.1,0.72857,0.38439,0.99126,0.99317,0.99636,0.99266,0.84054,0.71455,0.2829,0.99731,0.0034165,0.0034165,0.0034165
135,5279.38,0.7294,0.38628,0.97994,0.99182,0.99658,0.99317,0.8437,0.71493,0.2873,0.99192,0.003367,0.003367,0.003367
136,5326.45,0.72691,0.3825,0.98286,0.99263,0.99658,0.99311,0.84369,0.70378,0.28438,0.99235,0.0033175,0.0033175,0.0033175
137,5373.47,0.73115,0.38337,0.98667,0.9963,0.99315,0.99314,0.84296,0.70875,0.28349,0.99208,0.003268,0.003268,0.003268
138,5421.18,0.71984,0.37896,0.9755,0.99657,0.99558,0.99329,0.84243,0.70934,0.28147,0.99099,0.0032185,0.0032185,0.0032185
