epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2359.89,0.46617,0.30145,1.00091,0.99827,0.99609,0.99462,0.94919,0.36153,0.2275,0.88558,0.00130304,0.00130304,0.00130304
90,2389.59,0.46891,0.30394,0.99563,0.998,0.99609,0.99474,0.95542,0.36247,0.22097,0.89084,0.00129512,0.00129512,0.00129512
91,2419.73,0.45641,0.30117,0.99011,0.99738,0.99609,0.99482,0.96189,0.33059,0.21382,0.8726,0.0012872,0.0012872,0.0012872
92,2449.44,0.4549,0.29384,0.9868,0.9907,0.99609,0.99462,0.96324,0.32266,0.21215,0.8579,0.00127928,0.00127928,0.00127928
93,2479.12,0.44836,0.30176,0.98714,0.99739,0.99597,0.99465,0.95813,0.33374,0.21257,0.87356,0.00127136,0.00127136,0.00127136
94,2509.08,0.45131,0.29681,0.98235,0.99725,0.99609,0.9946,0.95612,0.348,0.21542,0.88097,0.00126344,0.00126344,0.00126344
95,2538.84,0.46418,0.30145,0.98922,0.99854,0.99609,0.99467,0.95816,0.34011,0.21595,0.87605,0.00125552,0.00125552,0.00125552
96,2568.75,0.44595,0.29493,0.98463,0.99393,0.99609,0.99445,0.95434,0.34638,0.22413,0.89701,0.0012476,0.0012476,0.0012476
97,2598.64,0.44131,0.28918,0.98363,0.99068,0.99609,0.9941,0.9671,0.30622,0.20985,0.85469,0.00123968,0.00123968,0.00123968
98,2628.3,0.4349,0.28987,0.97906,0.99849,0.99609,0.99474,0.96099,0.31697,0.20058,0.86036,0.00123176,0.00123176,0.00123176
99,2657.99,0.43159,0.28546,0.97577,0.99821,0.99609,0.99473,0.95734,0.32864,0.20627,0.86712,0.00122384,0.00122384,0.00122384
100,2687.56,0.44424,0.29329,0.98813,0.99862,0.99609,0.99478,0.9652,0.312,0.19662,0.8616,0.00121592,0.00121592,0.00121592
101,2717.8,0.42389,0.28246,0.96824,0.9983,0.99609,0.99478,0.96506,0.31631,0.20624,0.85617,0.001208,0.001208,0.001208
102,2747.99,0.43819,0.28993,0.97767,0.99854,0.99609,0.9947,0.96453,0.31632,0.20098,0.85699,0.00120008,0.00120008,0.00120008
103,2778.03,0.4411,0.28999,0.98359,0.99765,0.99609,0.99474,0.96353,0.31911,0.2055,0.86935,0.00119216,0.00119216,0.00119216
104,2807.49,0.43877,0.28803,0.9746,0.9981,0.99089,0.99495,0.96501,0.31604,0.20047,0.85955,0.00118424,0.00118424,0.00118424
105,2837.13,0.42514,0.27801,0.97075,0.98347,0.98958,0.99345,0.96231,0.32176,0.22668,0.86583,0.00117632,0.00117632,0.00117632
106,2866.94,0.41972,0.27804,0.97295,0.99846,0.99609,0.99474,0.9648,0.30439,0.19652,0.8561,0.0011684,0.0011684,0.0011684
107,2896.23,0.41215,0.27729,0.96523,0.9985,0.99609,0.99482,0.96701,0.30671,0.19383,0.86005,0.00116048,0.00116048,0.00116048
108,2925.68,0.43155,0.28851,0.97642,0.99456,0.99609,0.99489,0.96952,0.30142,0.20024,0.85696,0.00115256,0.00115256,0.00115256
109,2955.66,0.4277,0.28815,0.97698,0.98169,0.98568,0.99304,0.95763,0.33878,0.22806,0.88036,0.00114464,0.00114464,0.00114464
110,2986.14,0.41515,0.28156,0.97048,0.99827,0.99609,0.99482,0.97022,0.29769,0.19548,0.84342,0.00113672,0.00113672,0.00113672
111,3016.41,0.41679,0.27762,0.97159,0.99712,0.99609,0.99479,0.97134,0.30016,0.1979,0.85187,0.0011288,0.0011288,0.0011288
112,3046.54,0.40249,0.27379,0.96296,0.99869,0.99176,0.995,0.97306,0.29108,0.19614,0.84457,0.00112088,0.00112088,0.00112088
113,3076.46,0.41977,0.28047,0.97354,0.99626,0.99609,0.99484,0.96852,0.30973,0.19226,0.85536,0.00111296,0.00111296,0.00111296
114,3106.07,0.41451,0.27377,0.97235,0.99859,0.99609,0.9948,0.96845,0.30648,0.19475,0.85865,0.00110504,0.00110504,0.00110504
115,3135.98,0.41951,0.2767,0.97233,0.99843,0.99609,0.99499,0.96841,0.30023,0.19272,0.84845,0.00109712,0.00109712,0.00109712
116,3165.96,0.40655,0.27415,0.96095,0.99713,0.99609,0.995,0.97023,0.29062,0.18621,0.85145,0.0010892,0.0010892,0.0010892
117,3196.2,0.41008,0.27712,0.96369,0.99812,0.99609,0.99499,0.9685,0.2904,0.18668,0.84237,0.00108128,0.00108128,0.00108128
118,3226.53,0.40174,0.27218,0.95761,0.99722,0.99609,0.99496,0.97076,0.28834,0.19204,0.85052,0.00107336,0.00107336,0.00107336
119,3256.61,0.40338,0.26777,0.96348,0.99869,0.99196,0.99486,0.97448,0.27149,0.18078,0.83262,0.00106544,0.00106544,0.00106544
120,3286.93,0.3995,0.26724,0.95718,0.99845,0.99609,0.995,0.97221,0.28217,0.18477,0.84007,0.00105752,0.00105752,0.00105752
121,3313.11,0.39516,0.26851,0.95959,0.99948,0.99609,0.995,0.97206,0.28411,0.18273,0.84193,0.0010496,0.0010496,0.0010496
122,3343.22,0.40068,0.26824,0.95845,0.99757,0.99609,0.995,0.97302,0.27524,0.18128,0.84042,0.00104168,0.00104168,0.00104168
123,3373.52,0.39188,0.26399,0.96002,0.99855,0.99609,0.99499,0.97425,0.27221,0.17803,0.83526,0.00103376,0.00103376,0.00103376
124,3403.69,0.39263,0.26606,0.96013,0.99962,0.99609,0.995,0.97813,0.26065,0.18106,0.82521,0.00102584,0.00102584,0.00102584
125,3433.95,0.39062,0.26378,0.9571,0.9953,0.99349,0.995,0.97492,0.26622,0.18317,0.82639,0.00101792,0.00101792,0.00101792
126,3460.64,0.38694,0.2603,0.95117,0.99565,0.99609,0.995,0.97657,0.26743,0.17713,0.83284,0.00101,0.00101,0.00101
127,3483.2,0.3917,0.26374,0.95856,0.99916,0.99609,0.995,0.9765,0.27384,0.18001,0.83577,0.00100208,0.00100208,0.00100208
128,3505.74,0.38932,0.26458,0.95535,0.99865,0.99609,0.995,0.97491,0.26803,0.18234,0.83141,0.00099416,0.00099416,0.00099416
129,3528.2,0.39667,0.26374,0.95512,0.99738,0.9923,0.995,0.97652,0.26854,0.18186,0.8313,0.00098624,0.00098624,0.00098624
130,3550.53,0.38478,0.26455,0.94998,0.99936,0.99609,0.995,0.9742,0.26895,0.18437,0.83806,0.00097832,0.00097832,0.00097832
131,3572.99,0.37718,0.25971,0.95286,0.9998,0.99609,0.995,0.97636,0.26865,0.17788,0.83683,0.0009704,0.0009704,0.0009704
132,3595.46,0.37497,0.2527,0.94593,0.99818,0.99609,0.995,0.97583,0.2612,0.17435,0.83047,0.00096248,0.00096248,0.00096248
133,3620.55,0.38534,0.25655,0.95808,0.99834,0.99609,0.995,0.97813,0.25697,0.1724,0.8343,0.00095456,0.00095456,0.00095456
134,3650.54,0.381,0.25948,0.95004,0.99869,0.99609,0.995,0.97911,0.25787,0.16988,0.82941,0.00094664,0.00094664,0.00094664
135,3680.59,0.3733,0.25454,0.94714,0.99984,0.99609,0.995,0.9762,0.25982,0.17044,0.82871,0.00093872,0.00093872,0.00093872
136,3710.66,0.37665,0.25596,0.95169,0.99979,0.99609,0.995,0.97842,0.25861,0.17164,0.82917,0.0009308,0.0009308,0.0009308
137,3740.3,0.37159,0.25625,0.94869,0.99972,0.99609,0.995,0.98076,0.25184,0.16559,0.82776,0.00092288,0.00092288,0.00092288
138,3770.86,0.37772,0.25622,0.94894,0.99958,0.99609,0.995,0.97994,0.25911,0.17548,0.83015,0.00091496,0.00091496,0.00091496
